sub_industry,industry,sector
"Ports, Docks & Harbours",Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Portuguese Restaurants,Food and Beverage Services,Accommodation Services
Post,Postal Services,"Transportation, Logistics, Supply Chain and Storage"
Post Office Services,Postal Services,"Transportation, Logistics, Supply Chain and Storage"
Postal Services,Postal Services,"Transportation, Logistics, Supply Chain and Storage"
Postcard Dealers,Retail Office Supplies and Gifts,Retail
Postres Artesanales Gourmet,Food and Beverage Retail,Retail
Potato Merchants/dealers,Wholesale Raw Farm Products,Wholesale
Potteries & Refractories,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Potters Equipment & Supplies,Retail Art Supplies,Retail
Pottery Manufacturers & Supplies,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Poultry,Farming,"Farming, Ranching, Forestry"
Poultry Equipment & Supplies,Wholesale Raw Farm Products,Wholesale
Poultry Farmers,Farming,"Farming, Ranching, Forestry"
Poultry Supplier,Wholesale Food and Beverage,Wholesale
Poultry Vaccine,Veterinary Services,Professional Services
Poultry Veterinary Services,Veterinary Services,Professional Services
Poultry Wholesalers,Wholesale Food and Beverage,Wholesale
Powder Coatings,Chemical Manufacturing,Manufacturing
Power Flushing,Facilities Services,Administrative and Support Services
Power Tools,Retail Building Materials and Garden Equipment,Retail
Power Transmission Equipment,Machinery Manufacturing,Manufacturing
Power Transmission Services,"Electric Power Transmission, Control, and Distribution",Utilities
Power/pressure Washing Services,Repair and Maintenance,Consumer Services
Ppc Budget Planning,Advertising Services,Professional Services
Practice Management,Business Consulting and Services,Professional Services
Prams & Accessories,Retail Apparel and Fashion,Retail
"Pre School, Day Care, Play Group, Kindergarden",Primary and Secondary Education,Education
Precious Metal Recovery,Mining,"Oil, Gas, and Mining"
Precious Stones,Retail Luxury Goods and Jewelry,Retail
Precision Engineers,Engineering Services,Professional Services
Predictive Analytics,IT Services and IT Consulting,Professional Services
Pregnancy Testing,Medical Equipment Manufacturing,Manufacturing
Prehospital Emergency Medicine,Health and Human Services,Government Administration
Premium Airport Lounges,Hospitality,Accommodation Services
Premium Bathroom Products,Retail Health and Personal Care Products,Retail
Premium Drinks,Food and Beverage Manufacturing,Manufacturing
Premium Food,Food and Beverage Manufacturing,Manufacturing
Premium Gastronomy,Food and Beverage Services,Accommodation Services
Premium Hand Crafted Ale,Food and Beverage Manufacturing,Manufacturing
Premium Meal Delivery & Health Food,Food and Beverage Services,Accommodation Services
Premium Natural Mineral Water & Premium Skincare,Retail Health and Personal Care Products,Retail
Premium Snacks,Food and Beverage Manufacturing,Manufacturing
Premium Spirit,Food and Beverage Manufacturing,Manufacturing
Premium Syrups,Food and Beverage Manufacturing,Manufacturing
Premium Winegums & Vegan Winegums,Food and Beverage Manufacturing,Manufacturing
Preparatory & Independent School,Primary and Secondary Education,Education
Prepared Foods,Food and Beverage Manufacturing,Manufacturing
Prepared Fruit & Fruit Packs,Food and Beverage Manufacturing,Manufacturing
Preserves,Food and Beverage Manufacturing,Manufacturing
Press Cutting Bureaux,Media and Telecommunications,"Technology, Information and Media"
Press Tool Manufacturers & Distributors,Machinery Manufacturing,Manufacturing
Pressure Washing Services,Repair and Maintenance,Consumer Services
Preventive Health Care,Health and Human Services,Government Administration
Primary Care,Medical Practices,Hospitals and Health Care
Primary Ecological Appraisals,Environmental Quality Programs,Government Administration
Print Consultants,Business Consulting and Services,Professional Services
Print Finishers,Printing Services,Manufacturing
Print Services,Printing Services,Manufacturing
Printed Circuit Manufacturers,Computers and Electronics Manufacturing,Manufacturing
Printed Circuit Services,Computers and Electronics Manufacturing,Manufacturing
Printer Repairs,Repair and Maintenance,Consumer Services
Printers' Services & Supplies,Printing Services,Manufacturing
Printing Engineering Services,Engineering Services,Professional Services
Printing Equipment Manufacturers,Machinery Manufacturing,Manufacturing
Priority Deliveries,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Prisons,Administration of Justice,Government Administration
Private Brands,Apparel Manufacturing,Manufacturing
Private Clients,Business Consulting and Services,Professional Services
Private Clinics,Medical Practices,Hospitals and Health Care
Private Dining,Food and Beverage Services,Accommodation Services
Private Dog Boarding,Veterinary Services,Professional Services
Private Function Room,Hospitality,Accommodation Services
Private Investigators/detective Agencies,Security and Investigations,Administrative and Support Services
Private Label,Apparel Manufacturing,Manufacturing
Private Label Bottling,Food and Beverage Manufacturing,Manufacturing
Probation Services,Administration of Justice,Government Administration
Process Design & Manufacture,Engineering Services,Professional Services
Process Reengineering,Business Consulting and Services,Professional Services
Processed Meats,Food and Beverage Manufacturing,Manufacturing
Procurement,Business Consulting and Services,Professional Services
Produce Distribution,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Produce Merchants/dealers,Food and Beverage Manufacturing,Manufacturing
Producer Of Decorative Aggregates,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Product Development,Business Consulting and Services,Professional Services
Product Sourcing,Business Consulting and Services,Professional Services
Production & Distribution Of Confectionery,Food and Beverage Manufacturing,Manufacturing
Production & Sales,Wholesale Import and Export,Wholesale
Production Catering,Food and Beverage Services,Accommodation Services
Productivity Software,IT Services and IT Consulting,Professional Services
Professional Drivers,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Professional Industrial Technology Solutions,IT Services and IT Consulting,Professional Services
Professional Services,Business Consulting and Services,Professional Services
Professional Speakers,Artists and Writers,Entertainment Providers
Program Management,Business Consulting and Services,Professional Services
Project Cargo,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Project Deployments,IT Services and IT Consulting,Professional Services
Project Forwarding,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Project Management,Business Consulting and Services,Professional Services
Project Management Software & Services,IT Services and IT Consulting,Professional Services
Project Shipping & Out Of Gauge,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
"Projection Screens- Manufacturers, Suppliers, Exporters","Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Projects & Charters,Travel Arrangements,Administrative and Support Services
Promotional Confectionery,Food and Beverage Manufacturing,Manufacturing
Promotional Items,Advertising Services,Professional Services
Proms Parties,Events Services,Administrative and Support Services
Prop Shaft Manufacturers,Transportation Equipment Manufacturing,Manufacturing
Property & Estate Management Companies,Real Estate,Real Estate and Equipment Rental Services
Property Developers,Real Estate,Real Estate and Equipment Rental Services
Property Investments,Capital Markets,Financial Services
Property Maintenance & Repairs,Repair and Maintenance,Consumer Services
Property Renovation/remodeling,Specialty Trade Contractors,Construction
Property Shops,Real Estate,Real Estate and Equipment Rental Services
Property Tax,Accounting,Professional Services
Proteins,Food and Beverage Manufacturing,Manufacturing
Psychiatrists,Medical Practices,Hospitals and Health Care
Psychoanalysts,Medical Practices,Hospitals and Health Care
Psychologists,Medical Practices,Hospitals and Health Care
Psychology,Health and Human Services,Government Administration
Psychotherapists,Medical Practices,Hospitals and Health Care
Pub Company,Food and Beverage Services,Accommodation Services
Pub Food,Food and Beverage Services,Accommodation Services
Public Analysts,Business Consulting and Services,Professional Services
Public Health,Health and Human Services,Government Administration
Public House Management,Food and Beverage Services,Accommodation Services
Public Relations,Advertising Services,Professional Services
Public Relations Consultants Software & Services,IT Services and IT Consulting,Professional Services
Public Relations Firms/Consultants,Advertising Services,Professional Services
Public Sector Procurement,Public Policy Offices,Government Administration
Public Swimming Pools,Recreational Facilities,Entertainment Providers
Publishers,Media and Telecommunications,"Technology, Information and Media"
Publishers' Services,Printing Services,Manufacturing
"Pubs, Bars & Inns",Food and Beverage Services,Accommodation Services
Pump Manufacturers,Machinery Manufacturing,Manufacturing
Pump Repair Sales & Service,Repair and Maintenance,Consumer Services
Pumps and Blasters,Machinery Manufacturing,Manufacturing
Puppy Training,Personal and Laundry Services,Consumer Services
Purchasing,Business Consulting and Services,Professional Services
Purchasing Services,Business Consulting and Services,Professional Services
Purebred Andalusian Breeding,Ranching and Fisheries,"Farming, Ranching, Forestry"
Purified Water System,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Pvc Products Manufacturers & Suppliers,Plastics and Rubber Product Manufacturing,Manufacturing
Quality Consultants,Business Consulting and Services,Professional Services
Quality Furniture Retailer,Retail Furniture and Home Furnishings,Retail
Quality Procedures Processes & Assessment,Business Consulting and Services,Professional Services
Quantity Surveyors,Building Construction,Construction
Quarries,Mining,"Oil, Gas, and Mining"
Rabbit Breeders,Ranching and Fisheries,"Farming, Ranching, Forestry"
Racecourses & Tracks,Performing Arts and Spectator Sports,Entertainment Providers
Racking Systems,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Radiator Covers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Radiators,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Radio,Media and Telecommunications,"Technology, Information and Media"
